"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
11,2004,NA,NA,"W.1","W.1.3"
12,2006,NA,NA,"W.1","W.1.3"
13,2020,NA,NA,"W.1","W.1.3"
14,2018,NA,NA,"W.1","W.1.3"
15,2018,NA,NA,"W.1","W.1.3"
16,2016,NA,NA,"W.1","W.1.3"
17,2003,NA,NA,"W.1","W.1.3"
18,2014,NA,NA,"W.1","W.1.3"
19,2006,NA,NA,"W.1","W.1.3"
20,2003,NA,NA,"W.1","W.1.3"
21,2017,NA,NA,"W.1","W.1.3"
22,2006,NA,NA,"W.1","W.1.3"
23,2011,NA,NA,"W.1","W.1.3"
24,2017,NA,NA,"W.1","W.1.3"
25,2012,NA,NA,"W.1","W.1.3"
26,2005,NA,NA,"W.1","W.1.3"
27,2008,NA,NA,"W.1","W.1.3"
28,2005,NA,NA,"W.1","W.1.3"
29,2002,NA,NA,"W.1","W.1.3"
30,2011,NA,NA,"W.1","W.1.3"
31,2011,NA,NA,"W.1","W.1.3"
32,2010,NA,NA,"W.1","W.1.3"
33,2010,NA,NA,"W.1","W.1.3"
34,2005,NA,NA,"W.1","W.1.3"
35,2021,NA,NA,"W.1","W.1.3"
36,2003,NA,NA,"W.1","W.1.3"
37,2021,NA,NA,"W.1","W.1.3"
38,2005,NA,NA,"W.1","W.1.3"
39,2019,NA,NA,"W.1","W.1.3"
40,2019,NA,NA,"W.1","W.1.3"
1,2019,231,NA,"E.3","E.3.4"
2,2005,291,64,"E.3","E.3.4"
3,2004,216,123,"E.3","E.3.4"
4,2009,219,196,"E.3","E.3.4"
5,2019,0,0,"E.3","E.3.4"
6,2018,0,0,"E.3","E.3.4"
7,2009,NA,NA,"E.3","E.3.4"
8,2002,NA,NA,"E.3","E.3.4"
9,2015,NA,NA,"E.3","E.3.4"
10,2005,NA,NA,"E.3","E.3.4"
11,2004,NA,NA,"E.3","E.3.4"
12,2006,NA,NA,"E.3","E.3.4"
13,2020,NA,NA,"E.3","E.3.4"
14,2018,NA,NA,"E.3","E.3.4"
15,2018,NA,NA,"E.3","E.3.4"
16,2016,NA,NA,"E.3","E.3.4"
17,2003,NA,NA,"E.3","E.3.4"
18,2014,NA,NA,"E.3","E.3.4"
19,2006,NA,NA,"E.3","E.3.4"
20,2003,NA,NA,"E.3","E.3.4"
21,2017,NA,NA,"E.3","E.3.4"
22,2006,NA,NA,"E.3","E.3.4"
23,2011,NA,NA,"E.3","E.3.4"
24,2017,NA,NA,"E.3","E.3.4"
25,2012,NA,NA,"E.3","E.3.4"
26,2005,NA,NA,"E.3","E.3.4"
27,2008,NA,NA,"E.3","E.3.4"
28,2005,NA,NA,"E.3","E.3.4"
29,2002,NA,NA,"E.3","E.3.4"
30,2011,NA,NA,"E.3","E.3.4"
31,2011,NA,NA,"E.3","E.3.4"
32,2010,NA,NA,"E.3","E.3.4"
33,2010,NA,NA,"E.3","E.3.4"
34,2005,NA,NA,"E.3","E.3.4"
35,2021,NA,NA,"E.3","E.3.4"
36,2003,NA,NA,"E.3","E.3.4"
37,2021,NA,NA,"E.3","E.3.4"
38,2005,NA,NA,"E.3","E.3.4"
39,2019,NA,NA,"E.3","E.3.4"
40,2019,NA,NA,"E.3","E.3.4"
1,2019,1,NA,"E.5","E.5.5"
2,2005,5,0,"E.5","E.5.5"
3,2004,0,0,"E.5","E.5.5"
4,2009,0,0,"E.5","E.5.5"
5,2019,NA,NA,"E.5","E.5.5"
6,2018,NA,NA,"E.5","E.5.5"
7,2009,NA,NA,"E.5","E.5.5"
8,2002,NA,NA,"E.5","E.5.5"
9,2015,NA,NA,"E.5","E.5.5"
10,2005,NA,NA,"E.5","E.5.5"
11,2004,NA,NA,"E.5","E.5.5"
12,2006,NA,NA,"E.5","E.5.5"
13,2020,NA,NA,"E.5","E.5.5"
14,2018,NA,NA,"E.5","E.5.5"
15,2018,NA,NA,"E.5","E.5.5"
16,2016,NA,NA,"E.5","E.5.5"
17,2003,NA,NA,"E.5","E.5.5"
18,2014,NA,NA,"E.5","E.5.5"
19,2006,NA,NA,"E.5","E.5.5"
20,2003,NA,NA,"E.5","E.5.5"
21,2017,NA,NA,"E.5","E.5.5"
22,2006,NA,NA,"E.5","E.5.5"
23,2011,NA,NA,"E.5","E.5.5"
24,2017,NA,NA,"E.5","E.5.5"
25,2012,NA,NA,"E.5","E.5.5"
26,2005,NA,NA,"E.5","E.5.5"
27,2008,NA,NA,"E.5","E.5.5"
28,2005,NA,NA,"E.5","E.5.5"
29,2002,NA,NA,"E.5","E.5.5"
30,2011,NA,NA,"E.5","E.5.5"
31,2011,NA,NA,"E.5","E.5.5"
32,2010,NA,NA,"E.5","E.5.5"
33,2010,NA,NA,"E.5","E.5.5"
34,2005,NA,NA,"E.5","E.5.5"
35,2021,NA,NA,"E.5","E.5.5"
36,2003,NA,NA,"E.5","E.5.5"
37,2021,NA,NA,"E.5","E.5.5"
38,2005,NA,NA,"E.5","E.5.5"
39,2019,NA,NA,"E.5","E.5.5"
40,2019,NA,NA,"E.5","E.5.5"
1,2019,10,NA,"E.1","E.1.6"
2,2005,24,4,"E.1","E.1.6"
3,2004,14,14,"E.1","E.1.6"
4,2009,17,22,"E.1","E.1.6"
5,2019,0,0,"E.1","E.1.6"
6,2018,0,0,"E.1","E.1.6"
7,2009,NA,NA,"E.1","E.1.6"
8,2002,NA,NA,"E.1","E.1.6"
9,2015,NA,NA,"E.1","E.1.6"
10,2005,NA,NA,"E.1","E.1.6"
11,2004,NA,NA,"E.1","E.1.6"
12,2006,NA,NA,"E.1","E.1.6"
13,2020,NA,NA,"E.1","E.1.6"
14,2018,NA,NA,"E.1","E.1.6"
15,2018,NA,NA,"E.1","E.1.6"
16,2016,NA,NA,"E.1","E.1.6"
17,2003,NA,NA,"E.1","E.1.6"
18,2014,NA,NA,"E.1","E.1.6"
19,2006,NA,NA,"E.1","E.1.6"
20,2003,NA,NA,"E.1","E.1.6"
21,2017,NA,NA,"E.1","E.1.6"
22,2006,NA,NA,"E.1","E.1.6"
23,2011,NA,NA,"E.1","E.1.6"
24,2017,NA,NA,"E.1","E.1.6"
25,2012,NA,NA,"E.1","E.1.6"
26,2005,NA,NA,"E.1","E.1.6"
27,2008,NA,NA,"E.1","E.1.6"
28,2005,NA,NA,"E.1","E.1.6"
29,2002,NA,NA,"E.1","E.1.6"
30,2011,NA,NA,"E.1","E.1.6"
31,2011,NA,NA,"E.1","E.1.6"
32,2010,NA,NA,"E.1","E.1.6"
33,2010,NA,NA,"E.1","E.1.6"
34,2005,NA,NA,"E.1","E.1.6"
35,2021,NA,NA,"E.1","E.1.6"
36,2003,NA,NA,"E.1","E.1.6"
37,2021,NA,NA,"E.1","E.1.6"
38,2005,NA,NA,"E.1","E.1.6"
39,2019,NA,NA,"E.1","E.1.6"
40,2019,NA,NA,"E.1","E.1.6"
1,2019,4,NA,"E.5","E.5.7"
2,2005,0,0,"E.5","E.5.7"
3,2004,0,0,"E.5","E.5.7"
4,2009,NA,NA,"E.5","E.5.7"
5,2019,NA,NA,"E.5","E.5.7"
6,2018,NA,NA,"E.5","E.5.7"
7,2009,NA,NA,"E.5","E.5.7"
8,2002,NA,NA,"E.5","E.5.7"
9,2015,NA,NA,"E.5","E.5.7"
10,2005,NA,NA,"E.5","E.5.7"
11,2004,NA,NA,"E.5","E.5.7"
12,2006,NA,NA,"E.5","E.5.7"
13,2020,NA,NA,"E.5","E.5.7"
14,2018,NA,NA,"E.5","E.5.7"
15,2018,NA,NA,"E.5","E.5.7"
16,2016,NA,NA,"E.5","E.5.7"
17,2003,NA,NA,"E.5","E.5.7"
18,2014,NA,NA,"E.5","E.5.7"
19,2006,NA,NA,"E.5","E.5.7"
20,2003,NA,NA,"E.5","E.5.7"
21,2017,NA,NA,"E.5","E.5.7"
22,2006,NA,NA,"E.5","E.5.7"
23,2011,NA,NA,"E.5","E.5.7"
24,2017,NA,NA,"E.5","E.5.7"
25,2012,NA,NA,"E.5","E.5.7"
26,2005,NA,NA,"E.5","E.5.7"
27,2008,NA,NA,"E.5","E.5.7"
28,2005,NA,NA,"E.5","E.5.7"
29,2002,NA,NA,"E.5","E.5.7"
30,2011,NA,NA,"E.5","E.5.7"
31,2011,NA,NA,"E.5","E.5.7"
32,2010,NA,NA,"E.5","E.5.7"
33,2010,NA,NA,"E.5","E.5.7"
34,2005,NA,NA,"E.5","E.5.7"
35,2021,NA,NA,"E.5","E.5.7"
36,2003,NA,NA,"E.5","E.5.7"
37,2021,NA,NA,"E.5","E.5.7"
38,2005,NA,NA,"E.5","E.5.7"
39,2019,NA,NA,"E.5","E.5.7"
40,2019,NA,NA,"E.5","E.5.7"
1,2019,4,NA,"E.6","E.6.8"
2,2005,9,2,"E.6","E.6.8"
3,2004,10,0,"E.6","E.6.8"
4,2009,0,0,"E.6","E.6.8"
5,2019,0,0,"E.6","E.6.8"
6,2018,NA,NA,"E.6","E.6.8"
7,2009,NA,NA,"E.6","E.6.8"
8,2002,NA,NA,"E.6","E.6.8"
9,2015,NA,NA,"E.6","E.6.8"
10,2005,NA,NA,"E.6","E.6.8"
11,2004,NA,NA,"E.6","E.6.8"
12,2006,NA,NA,"E.6","E.6.8"
13,2020,NA,NA,"E.6","E.6.8"
14,2018,NA,NA,"E.6","E.6.8"
15,2018,NA,NA,"E.6","E.6.8"
16,2016,NA,NA,"E.6","E.6.8"
17,2003,NA,NA,"E.6","E.6.8"
18,2014,NA,NA,"E.6","E.6.8"
19,2006,NA,NA,"E.6","E.6.8"
20,2003,NA,NA,"E.6","E.6.8"
21,2017,NA,NA,"E.6","E.6.8"
22,2006,NA,NA,"E.6","E.6.8"
23,2011,NA,NA,"E.6","E.6.8"
24,2017,NA,NA,"E.6","E.6.8"
25,2012,NA,NA,"E.6","E.6.8"
26,2005,NA,NA,"E.6","E.6.8"
27,2008,NA,NA,"E.6","E.6.8"
28,2005,NA,NA,"E.6","E.6.8"
29,2002,NA,NA,"E.6","E.6.8"
30,2011,NA,NA,"E.6","E.6.8"
31,2011,NA,NA,"E.6","E.6.8"
32,2010,NA,NA,"E.6","E.6.8"
33,2010,NA,NA,"E.6","E.6.8"
34,2005,NA,NA,"E.6","E.6.8"
35,2021,NA,NA,"E.6","E.6.8"
36,2003,NA,NA,"E.6","E.6.8"
37,2021,NA,NA,"E.6","E.6.8"
38,2005,NA,NA,"E.6","E.6.8"
39,2019,NA,NA,"E.6","E.6.8"
40,2019,NA,NA,"E.6","E.6.8"
1,2019,1,NA,"E.2","E.2.9"
2,2005,5,1,"E.2","E.2.9"
3,2004,0,0,"E.2","E.2.9"
4,2009,0,0,"E.2","E.2.9"
5,2019,NA,NA,"E.2","E.2.9"
6,2018,NA,NA,"E.2","E.2.9"
7,2009,NA,NA,"E.2","E.2.9"
8,2002,NA,NA,"E.2","E.2.9"
9,2015,NA,NA,"E.2","E.2.9"
10,2005,NA,NA,"E.2","E.2.9"
11,2004,NA,NA,"E.2","E.2.9"
12,2006,NA,NA,"E.2","E.2.9"
13,2020,NA,NA,"E.2","E.2.9"
14,2018,NA,NA,"E.2","E.2.9"
15,2018,NA,NA,"E.2","E.2.9"
16,2016,NA,NA,"E.2","E.2.9"
17,2003,NA,NA,"E.2","E.2.9"
18,2014,NA,NA,"E.2","E.2.9"
19,2006,NA,NA,"E.2","E.2.9"
20,2003,NA,NA,"E.2","E.2.9"
21,2017,NA,NA,"E.2","E.2.9"
22,2006,NA,NA,"E.2","E.2.9"
23,2011,NA,NA,"E.2","E.2.9"
24,2017,NA,NA,"E.2","E.2.9"
25,2012,NA,NA,"E.2","E.2.9"
26,2005,NA,NA,"E.2","E.2.9"
27,2008,NA,NA,"E.2","E.2.9"
28,2005,NA,NA,"E.2","E.2.9"
29,2002,NA,NA,"E.2","E.2.9"
30,2011,NA,NA,"E.2","E.2.9"
31,2011,NA,NA,"E.2","E.2.9"
32,2010,NA,NA,"E.2","E.2.9"
33,2010,NA,NA,"E.2","E.2.9"
34,2005,NA,NA,"E.2","E.2.9"
35,2021,NA,NA,"E.2","E.2.9"
36,2003,NA,NA,"E.2","E.2.9"
37,2021,NA,NA,"E.2","E.2.9"
38,2005,NA,NA,"E.2","E.2.9"
39,2019,NA,NA,"E.2","E.2.9"
40,2019,NA,NA,"E.2","E.2.9"
1,2019,4,NA,"W.1","W.1.10"
2,2005,14,1,"W.1","W.1.10"
3,2004,0,0,"W.1","W.1.10"
4,2009,0,0,"W.1","W.1.10"
5,2019,NA,NA,"W.1","W.1.10"
6,2018,NA,NA,"W.1","W.1.10"
7,2009,NA,NA,"W.1","W.1.10"
8,2002,NA,NA,"W.1","W.1.10"
9,2015,NA,NA,"W.1","W.1.10"
10,2005,NA,NA,"W.1","W.1.10"
11,2004,NA,NA,"W.1","W.1.10"
12,2006,NA,NA,"W.1","W.1.10"
13,2020,NA,NA,"W.1","W.1.10"
14,2018,NA,NA,"W.1","W.1.10"
15,2018,NA,NA,"W.1","W.1.10"
16,2016,NA,NA,"W.1","W.1.10"
17,2003,NA,NA,"W.1","W.1.10"
18,2014,NA,NA,"W.1","W.1.10"
19,2006,NA,NA,"W.1","W.1.10"
20,2003,NA,NA,"W.1","W.1.10"
21,2017,NA,NA,"W.1","W.1.10"
22,2006,NA,NA,"W.1","W.1.10"
23,2011,NA,NA,"W.1","W.1.10"
24,2017,NA,NA,"W.1","W.1.10"
25,2012,NA,NA,"W.1","W.1.10"
26,2005,NA,NA,"W.1","W.1.10"
27,2008,NA,NA,"W.1","W.1.10"
28,2005,NA,NA,"W.1","W.1.10"
29,2002,NA,NA,"W.1","W.1.10"
30,2011,NA,NA,"W.1","W.1.10"
31,2011,NA,NA,"W.1","W.1.10"
32,2010,NA,NA,"W.1","W.1.10"
33,2010,NA,NA,"W.1","W.1.10"
34,2005,NA,NA,"W.1","W.1.10"
35,2021,NA,NA,"W.1","W.1.10"
36,2003,NA,NA,"W.1","W.1.10"
37,2021,NA,NA,"W.1","W.1.10"
38,2005,NA,NA,"W.1","W.1.10"
39,2019,NA,NA,"W.1","W.1.10"
40,2019,NA,NA,"W.1","W.1.10"
1,2019,28,NA,"W.4","W.4.11"
2,2005,52,21,"W.4","W.4.11"
3,2004,0,0,"W.4","W.4.11"
4,2009,0,0,"W.4","W.4.11"
5,2019,NA,NA,"W.4","W.4.11"
6,2018,NA,NA,"W.4","W.4.11"
7,2009,NA,NA,"W.4","W.4.11"
8,2002,NA,NA,"W.4","W.4.11"
9,2015,NA,NA,"W.4","W.4.11"
10,2005,NA,NA,"W.4","W.4.11"
11,2004,NA,NA,"W.4","W.4.11"
12,2006,NA,NA,"W.4","W.4.11"
13,2020,NA,NA,"W.4","W.4.11"
14,2018,NA,NA,"W.4","W.4.11"
15,2018,NA,NA,"W.4","W.4.11"
16,2016,NA,NA,"W.4","W.4.11"
17,2003,NA,NA,"W.4","W.4.11"
18,2014,NA,NA,"W.4","W.4.11"
19,2006,NA,NA,"W.4","W.4.11"
20,2003,NA,NA,"W.4","W.4.11"
21,2017,NA,NA,"W.4","W.4.11"
22,2006,NA,NA,"W.4","W.4.11"
23,2011,NA,NA,"W.4","W.4.11"
24,2017,NA,NA,"W.4","W.4.11"
25,2012,NA,NA,"W.4","W.4.11"
26,2005,NA,NA,"W.4","W.4.11"
27,2008,NA,NA,"W.4","W.4.11"
28,2005,NA,NA,"W.4","W.4.11"
29,2002,NA,NA,"W.4","W.4.11"
30,2011,NA,NA,"W.4","W.4.11"
31,2011,NA,NA,"W.4","W.4.11"
32,2010,NA,NA,"W.4","W.4.11"
33,2010,NA,NA,"W.4","W.4.11"
34,2005,NA,NA,"W.4","W.4.11"
35,2021,NA,NA,"W.4","W.4.11"
36,2003,NA,NA,"W.4","W.4.11"
37,2021,NA,NA,"W.4","W.4.11"
38,2005,NA,NA,"W.4","W.4.11"
39,2019,NA,NA,"W.4","W.4.11"
40,2019,NA,NA,"W.4","W.4.11"
1,2019,195,NA,"W.4","W.4.12"
2,2005,256,100,"W.4","W.4.12"
3,2004,185,134,"W.4","W.4.12"
4,2009,190,300,"W.4","W.4.12"
5,2019,230,27,"W.4","W.4.12"
6,2018,150,62,"W.4","W.4.12"
7,2009,192,106,"W.4","W.4.12"
8,2002,0,0,"W.4","W.4.12"
9,2015,0,0,"W.4","W.4.12"
10,2005,NA,NA,"W.4","W.4.12"
11,2004,NA,NA,"W.4","W.4.12"
12,2006,NA,NA,"W.4","W.4.12"
13,2020,NA,NA,"W.4","W.4.12"
14,2018,NA,NA,"W.4","W.4.12"
15,2018,NA,NA,"W.4","W.4.12"
16,2016,NA,NA,"W.4","W.4.12"
17,2003,NA,NA,"W.4","W.4.12"
18,2014,NA,NA,"W.4","W.4.12"
19,2006,NA,NA,"W.4","W.4.12"
20,2003,NA,NA,"W.4","W.4.12"
21,2017,NA,NA,"W.4","W.4.12"
22,2006,NA,NA,"W.4","W.4.12"
23,2011,NA,NA,"W.4","W.4.12"
24,2017,NA,NA,"W.4","W.4.12"
25,2012,NA,NA,"W.4","W.4.12"
26,2005,NA,NA,"W.4","W.4.12"
27,2008,NA,NA,"W.4","W.4.12"
28,2005,NA,NA,"W.4","W.4.12"
29,2002,NA,NA,"W.4","W.4.12"
30,2011,NA,NA,"W.4","W.4.12"
31,2011,NA,NA,"W.4","W.4.12"
32,2010,NA,NA,"W.4","W.4.12"
33,2010,NA,NA,"W.4","W.4.12"
34,2005,NA,NA,"W.4","W.4.12"
35,2021,NA,NA,"W.4","W.4.12"
36,2003,NA,NA,"W.4","W.4.12"
37,2021,NA,NA,"W.4","W.4.12"
38,2005,NA,NA,"W.4","W.4.12"
39,2019,NA,NA,"W.4","W.4.12"
40,2019,NA,NA,"W.4","W.4.12"
1,2019,118,NA,"W.4","W.4.13"
2,2005,171,209,"W.4","W.4.13"
3,2004,0,0,"W.4","W.4.13"
4,2009,0,0,"W.4","W.4.13"
5,2019,NA,NA,"W.4","W.4.13"
6,2018,NA,NA,"W.4","W.4.13"
7,2009,NA,NA,"W.4","W.4.13"
8,2002,NA,NA,"W.4","W.4.13"
9,2015,NA,NA,"W.4","W.4.13"
10,2005,NA,NA,"W.4","W.4.13"
11,2004,NA,NA,"W.4","W.4.13"
12,2006,NA,NA,"W.4","W.4.13"
13,2020,NA,NA,"W.4","W.4.13"
14,2018,NA,NA,"W.4","W.4.13"
15,2018,NA,NA,"W.4","W.4.13"
16,2016,NA,NA,"W.4","W.4.13"
17,2003,NA,NA,"W.4","W.4.13"
18,2014,NA,NA,"W.4","W.4.13"
19,2006,NA,NA,"W.4","W.4.13"
20,2003,NA,NA,"W.4","W.4.13"
21,2017,NA,NA,"W.4","W.4.13"
22,2006,NA,NA,"W.4","W.4.13"
23,2011,NA,NA,"W.4","W.4.13"
24,2017,NA,NA,"W.4","W.4.13"
25,2012,NA,NA,"W.4","W.4.13"
26,2005,NA,NA,"W.4","W.4.13"
27,2008,NA,NA,"W.4","W.4.13"
28,2005,NA,NA,"W.4","W.4.13"
29,2002,NA,NA,"W.4","W.4.13"
30,2011,NA,NA,"W.4","W.4.13"
31,2011,NA,NA,"W.4","W.4.13"
32,2010,NA,NA,"W.4","W.4.13"
33,2010,NA,NA,"W.4","W.4.13"
34,2005,NA,NA,"W.4","W.4.13"
35,2021,NA,NA,"W.4","W.4.13"
36,2003,NA,NA,"W.4","W.4.13"
37,2021,NA,NA,"W.4","W.4.13"
38,2005,NA,NA,"W.4","W.4.13"
39,2019,NA,NA,"W.4","W.4.13"
40,2019,NA,NA,"W.4","W.4.13"
1,2019,28,NA,"E.7","E.7.14"
2,2005,51,4,"E.7","E.7.14"
3,2004,39,27,"E.7","E.7.14"
4,2009,42,34,"E.7","E.7.14"
5,2019,45,58,"E.7","E.7.14"
6,2018,0,0,"E.7","E.7.14"
7,2009,0,0,"E.7","E.7.14"
8,2002,NA,NA,"E.7","E.7.14"
9,2015,NA,NA,"E.7","E.7.14"
10,2005,NA,NA,"E.7","E.7.14"
11,2004,NA,NA,"E.7","E.7.14"
12,2006,NA,NA,"E.7","E.7.14"
13,2020,NA,NA,"E.7","E.7.14"
14,2018,NA,NA,"E.7","E.7.14"
15,2018,NA,NA,"E.7","E.7.14"
16,2016,NA,NA,"E.7","E.7.14"
17,2003,NA,NA,"E.7","E.7.14"
18,2014,NA,NA,"E.7","E.7.14"
19,2006,NA,NA,"E.7","E.7.14"
20,2003,NA,NA,"E.7","E.7.14"
21,2017,NA,NA,"E.7","E.7.14"
22,2006,NA,NA,"E.7","E.7.14"
23,2011,NA,NA,"E.7","E.7.14"
24,2017,NA,NA,"E.7","E.7.14"
25,2012,NA,NA,"E.7","E.7.14"
26,2005,NA,NA,"E.7","E.7.14"
27,2008,NA,NA,"E.7","E.7.14"
28,2005,NA,NA,"E.7","E.7.14"
29,2002,NA,NA,"E.7","E.7.14"
30,2011,NA,NA,"E.7","E.7.14"
31,2011,NA,NA,"E.7","E.7.14"
32,2010,NA,NA,"E.7","E.7.14"
33,2010,NA,NA,"E.7","E.7.14"
34,2005,NA,NA,"E.7","E.7.14"
35,2021,NA,NA,"E.7","E.7.14"
36,2003,NA,NA,"E.7","E.7.14"
37,2021,NA,NA,"E.7","E.7.14"
38,2005,NA,NA,"E.7","E.7.14"
39,2019,NA,NA,"E.7","E.7.14"
40,2019,NA,NA,"E.7","E.7.14"
1,2019,34,NA,"E.5","E.5.15"
2,2005,62,24,"E.5","E.5.15"
3,2004,0,0,"E.5","E.5.15"
4,2009,0,0,"E.5","E.5.15"
5,2019,NA,NA,"E.5","E.5.15"
6,2018,NA,NA,"E.5","E.5.15"
7,2009,NA,NA,"E.5","E.5.15"
8,2002,NA,NA,"E.5","E.5.15"
9,2015,NA,NA,"E.5","E.5.15"
10,2005,NA,NA,"E.5","E.5.15"
11,2004,NA,NA,"E.5","E.5.15"
12,2006,NA,NA,"E.5","E.5.15"
13,2020,NA,NA,"E.5","E.5.15"
14,2018,NA,NA,"E.5","E.5.15"
15,2018,NA,NA,"E.5","E.5.15"
16,2016,NA,NA,"E.5","E.5.15"
17,2003,NA,NA,"E.5","E.5.15"
18,2014,NA,NA,"E.5","E.5.15"
19,2006,NA,NA,"E.5","E.5.15"
20,2003,NA,NA,"E.5","E.5.15"
21,2017,NA,NA,"E.5","E.5.15"
22,2006,NA,NA,"E.5","E.5.15"
23,2011,NA,NA,"E.5","E.5.15"
24,2017,NA,NA,"E.5","E.5.15"
25,2012,NA,NA,"E.5","E.5.15"
26,2005,NA,NA,"E.5","E.5.15"
27,2008,NA,NA,"E.5","E.5.15"
28,2005,NA,NA,"E.5","E.5.15"
29,2002,NA,NA,"E.5","E.5.15"
30,2011,NA,NA,"E.5","E.5.15"
31,2011,NA,NA,"E.5","E.5.15"
32,2010,NA,NA,"E.5","E.5.15"
33,2010,NA,NA,"E.5","E.5.15"
34,2005,NA,NA,"E.5","E.5.15"
35,2021,NA,NA,"E.5","E.5.15"
36,2003,NA,NA,"E.5","E.5.15"
37,2021,NA,NA,"E.5","E.5.15"
38,2005,NA,NA,"E.5","E.5.15"
39,2019,NA,NA,"E.5","E.5.15"
40,2019,NA,NA,"E.5","E.5.15"
1,2019,201,NA,"W.2","W.2.16"
2,2005,260,83,"W.2","W.2.16"
3,2004,0,0,"W.2","W.2.16"
4,2009,0,0,"W.2","W.2.16"
5,2019,NA,NA,"W.2","W.2.16"
6,2018,NA,NA,"W.2","W.2.16"
7,2009,NA,NA,"W.2","W.2.16"
8,2002,NA,NA,"W.2","W.2.16"
9,2015,NA,NA,"W.2","W.2.16"
10,2005,NA,NA,"W.2","W.2.16"
11,2004,NA,NA,"W.2","W.2.16"
12,2006,NA,NA,"W.2","W.2.16"
