"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
11,2016,NA,NA,"E.3","E.3.3"
12,2018,NA,NA,"E.3","E.3.3"
13,2018,NA,NA,"E.3","E.3.3"
14,2020,NA,NA,"E.3","E.3.3"
15,2019,NA,NA,"E.3","E.3.3"
16,2015,NA,NA,"E.3","E.3.3"
17,2018,NA,NA,"E.3","E.3.3"
18,2009,NA,NA,"E.3","E.3.3"
19,2005,NA,NA,"E.3","E.3.3"
20,2002,NA,NA,"E.3","E.3.3"
21,2014,NA,NA,"E.3","E.3.3"
22,2013,NA,NA,"E.3","E.3.3"
23,2021,NA,NA,"E.3","E.3.3"
24,2002,NA,NA,"E.3","E.3.3"
25,2020,NA,NA,"E.3","E.3.3"
26,2019,NA,NA,"E.3","E.3.3"
27,2004,NA,NA,"E.3","E.3.3"
28,2007,NA,NA,"E.3","E.3.3"
29,2003,NA,NA,"E.3","E.3.3"
30,2011,NA,NA,"E.3","E.3.3"
31,2009,NA,NA,"E.3","E.3.3"
32,2008,NA,NA,"E.3","E.3.3"
33,2004,NA,NA,"E.3","E.3.3"
34,2005,NA,NA,"E.3","E.3.3"
35,2004,NA,NA,"E.3","E.3.3"
36,2015,NA,NA,"E.3","E.3.3"
37,2009,NA,NA,"E.3","E.3.3"
38,2014,NA,NA,"E.3","E.3.3"
39,2005,NA,NA,"E.3","E.3.3"
40,2009,NA,NA,"E.3","E.3.3"
1,2020,1,NA,"W.3","W.3.4"
2,2008,0,0,"W.3","W.3.4"
3,2002,0,0,"W.3","W.3.4"
4,2002,NA,NA,"W.3","W.3.4"
5,2014,NA,NA,"W.3","W.3.4"
6,2019,NA,NA,"W.3","W.3.4"
7,2017,NA,NA,"W.3","W.3.4"
8,2017,NA,NA,"W.3","W.3.4"
9,2017,NA,NA,"W.3","W.3.4"
10,2005,NA,NA,"W.3","W.3.4"
11,2016,NA,NA,"W.3","W.3.4"
12,2018,NA,NA,"W.3","W.3.4"
13,2018,NA,NA,"W.3","W.3.4"
14,2020,NA,NA,"W.3","W.3.4"
15,2019,NA,NA,"W.3","W.3.4"
16,2015,NA,NA,"W.3","W.3.4"
17,2018,NA,NA,"W.3","W.3.4"
18,2009,NA,NA,"W.3","W.3.4"
19,2005,NA,NA,"W.3","W.3.4"
20,2002,NA,NA,"W.3","W.3.4"
21,2014,NA,NA,"W.3","W.3.4"
22,2013,NA,NA,"W.3","W.3.4"
23,2021,NA,NA,"W.3","W.3.4"
24,2002,NA,NA,"W.3","W.3.4"
25,2020,NA,NA,"W.3","W.3.4"
26,2019,NA,NA,"W.3","W.3.4"
27,2004,NA,NA,"W.3","W.3.4"
28,2007,NA,NA,"W.3","W.3.4"
29,2003,NA,NA,"W.3","W.3.4"
30,2011,NA,NA,"W.3","W.3.4"
31,2009,NA,NA,"W.3","W.3.4"
32,2008,NA,NA,"W.3","W.3.4"
33,2004,NA,NA,"W.3","W.3.4"
34,2005,NA,NA,"W.3","W.3.4"
35,2004,NA,NA,"W.3","W.3.4"
36,2015,NA,NA,"W.3","W.3.4"
37,2009,NA,NA,"W.3","W.3.4"
38,2014,NA,NA,"W.3","W.3.4"
39,2005,NA,NA,"W.3","W.3.4"
40,2009,NA,NA,"W.3","W.3.4"
1,2020,1,NA,"E.4","E.4.5"
2,2008,0,0,"E.4","E.4.5"
3,2002,0,0,"E.4","E.4.5"
4,2002,NA,NA,"E.4","E.4.5"
5,2014,NA,NA,"E.4","E.4.5"
6,2019,NA,NA,"E.4","E.4.5"
7,2017,NA,NA,"E.4","E.4.5"
8,2017,NA,NA,"E.4","E.4.5"
9,2017,NA,NA,"E.4","E.4.5"
10,2005,NA,NA,"E.4","E.4.5"
11,2016,NA,NA,"E.4","E.4.5"
12,2018,NA,NA,"E.4","E.4.5"
13,2018,NA,NA,"E.4","E.4.5"
14,2020,NA,NA,"E.4","E.4.5"
15,2019,NA,NA,"E.4","E.4.5"
16,2015,NA,NA,"E.4","E.4.5"
17,2018,NA,NA,"E.4","E.4.5"
18,2009,NA,NA,"E.4","E.4.5"
19,2005,NA,NA,"E.4","E.4.5"
20,2002,NA,NA,"E.4","E.4.5"
21,2014,NA,NA,"E.4","E.4.5"
22,2013,NA,NA,"E.4","E.4.5"
23,2021,NA,NA,"E.4","E.4.5"
24,2002,NA,NA,"E.4","E.4.5"
25,2020,NA,NA,"E.4","E.4.5"
26,2019,NA,NA,"E.4","E.4.5"
27,2004,NA,NA,"E.4","E.4.5"
28,2007,NA,NA,"E.4","E.4.5"
29,2003,NA,NA,"E.4","E.4.5"
30,2011,NA,NA,"E.4","E.4.5"
31,2009,NA,NA,"E.4","E.4.5"
32,2008,NA,NA,"E.4","E.4.5"
33,2004,NA,NA,"E.4","E.4.5"
34,2005,NA,NA,"E.4","E.4.5"
35,2004,NA,NA,"E.4","E.4.5"
36,2015,NA,NA,"E.4","E.4.5"
37,2009,NA,NA,"E.4","E.4.5"
38,2014,NA,NA,"E.4","E.4.5"
39,2005,NA,NA,"E.4","E.4.5"
40,2009,NA,NA,"E.4","E.4.5"
1,2020,1,NA,"W.1","W.1.6"
2,2008,1,0,"W.1","W.1.6"
3,2002,1,86,"W.1","W.1.6"
4,2002,0,0,"W.1","W.1.6"
5,2014,0,0,"W.1","W.1.6"
6,2019,NA,NA,"W.1","W.1.6"
7,2017,NA,NA,"W.1","W.1.6"
8,2017,NA,NA,"W.1","W.1.6"
9,2017,NA,NA,"W.1","W.1.6"
10,2005,NA,NA,"W.1","W.1.6"
11,2016,NA,NA,"W.1","W.1.6"
12,2018,NA,NA,"W.1","W.1.6"
13,2018,NA,NA,"W.1","W.1.6"
14,2020,NA,NA,"W.1","W.1.6"
15,2019,NA,NA,"W.1","W.1.6"
16,2015,NA,NA,"W.1","W.1.6"
17,2018,NA,NA,"W.1","W.1.6"
18,2009,NA,NA,"W.1","W.1.6"
19,2005,NA,NA,"W.1","W.1.6"
20,2002,NA,NA,"W.1","W.1.6"
21,2014,NA,NA,"W.1","W.1.6"
22,2013,NA,NA,"W.1","W.1.6"
23,2021,NA,NA,"W.1","W.1.6"
24,2002,NA,NA,"W.1","W.1.6"
25,2020,NA,NA,"W.1","W.1.6"
26,2019,NA,NA,"W.1","W.1.6"
27,2004,NA,NA,"W.1","W.1.6"
28,2007,NA,NA,"W.1","W.1.6"
29,2003,NA,NA,"W.1","W.1.6"
30,2011,NA,NA,"W.1","W.1.6"
31,2009,NA,NA,"W.1","W.1.6"
32,2008,NA,NA,"W.1","W.1.6"
33,2004,NA,NA,"W.1","W.1.6"
34,2005,NA,NA,"W.1","W.1.6"
35,2004,NA,NA,"W.1","W.1.6"
36,2015,NA,NA,"W.1","W.1.6"
37,2009,NA,NA,"W.1","W.1.6"
38,2014,NA,NA,"W.1","W.1.6"
39,2005,NA,NA,"W.1","W.1.6"
40,2009,NA,NA,"W.1","W.1.6"
1,2020,1,NA,"E.6","E.6.7"
2,2008,0,0,"E.6","E.6.7"
3,2002,0,0,"E.6","E.6.7"
4,2002,NA,NA,"E.6","E.6.7"
5,2014,NA,NA,"E.6","E.6.7"
6,2019,NA,NA,"E.6","E.6.7"
7,2017,NA,NA,"E.6","E.6.7"
8,2017,NA,NA,"E.6","E.6.7"
9,2017,NA,NA,"E.6","E.6.7"
10,2005,NA,NA,"E.6","E.6.7"
11,2016,NA,NA,"E.6","E.6.7"
12,2018,NA,NA,"E.6","E.6.7"
13,2018,NA,NA,"E.6","E.6.7"
14,2020,NA,NA,"E.6","E.6.7"
15,2019,NA,NA,"E.6","E.6.7"
16,2015,NA,NA,"E.6","E.6.7"
17,2018,NA,NA,"E.6","E.6.7"
18,2009,NA,NA,"E.6","E.6.7"
19,2005,NA,NA,"E.6","E.6.7"
20,2002,NA,NA,"E.6","E.6.7"
21,2014,NA,NA,"E.6","E.6.7"
22,2013,NA,NA,"E.6","E.6.7"
23,2021,NA,NA,"E.6","E.6.7"
24,2002,NA,NA,"E.6","E.6.7"
25,2020,NA,NA,"E.6","E.6.7"
26,2019,NA,NA,"E.6","E.6.7"
27,2004,NA,NA,"E.6","E.6.7"
28,2007,NA,NA,"E.6","E.6.7"
29,2003,NA,NA,"E.6","E.6.7"
30,2011,NA,NA,"E.6","E.6.7"
31,2009,NA,NA,"E.6","E.6.7"
32,2008,NA,NA,"E.6","E.6.7"
33,2004,NA,NA,"E.6","E.6.7"
34,2005,NA,NA,"E.6","E.6.7"
35,2004,NA,NA,"E.6","E.6.7"
36,2015,NA,NA,"E.6","E.6.7"
37,2009,NA,NA,"E.6","E.6.7"
38,2014,NA,NA,"E.6","E.6.7"
39,2005,NA,NA,"E.6","E.6.7"
40,2009,NA,NA,"E.6","E.6.7"
1,2020,1,NA,"E.1","E.1.8"
2,2008,4,0,"E.1","E.1.8"
3,2002,0,0,"E.1","E.1.8"
4,2002,0,0,"E.1","E.1.8"
5,2014,NA,NA,"E.1","E.1.8"
6,2019,NA,NA,"E.1","E.1.8"
7,2017,NA,NA,"E.1","E.1.8"
8,2017,NA,NA,"E.1","E.1.8"
9,2017,NA,NA,"E.1","E.1.8"
10,2005,NA,NA,"E.1","E.1.8"
11,2016,NA,NA,"E.1","E.1.8"
12,2018,NA,NA,"E.1","E.1.8"
13,2018,NA,NA,"E.1","E.1.8"
14,2020,NA,NA,"E.1","E.1.8"
15,2019,NA,NA,"E.1","E.1.8"
16,2015,NA,NA,"E.1","E.1.8"
17,2018,NA,NA,"E.1","E.1.8"
18,2009,NA,NA,"E.1","E.1.8"
19,2005,NA,NA,"E.1","E.1.8"
20,2002,NA,NA,"E.1","E.1.8"
21,2014,NA,NA,"E.1","E.1.8"
22,2013,NA,NA,"E.1","E.1.8"
23,2021,NA,NA,"E.1","E.1.8"
24,2002,NA,NA,"E.1","E.1.8"
25,2020,NA,NA,"E.1","E.1.8"
26,2019,NA,NA,"E.1","E.1.8"
27,2004,NA,NA,"E.1","E.1.8"
28,2007,NA,NA,"E.1","E.1.8"
29,2003,NA,NA,"E.1","E.1.8"
30,2011,NA,NA,"E.1","E.1.8"
31,2009,NA,NA,"E.1","E.1.8"
32,2008,NA,NA,"E.1","E.1.8"
33,2004,NA,NA,"E.1","E.1.8"
34,2005,NA,NA,"E.1","E.1.8"
35,2004,NA,NA,"E.1","E.1.8"
36,2015,NA,NA,"E.1","E.1.8"
37,2009,NA,NA,"E.1","E.1.8"
38,2014,NA,NA,"E.1","E.1.8"
39,2005,NA,NA,"E.1","E.1.8"
40,2009,NA,NA,"E.1","E.1.8"
1,2020,1,NA,"W.1","W.1.9"
2,2008,6,0,"W.1","W.1.9"
3,2002,0,0,"W.1","W.1.9"
4,2002,0,0,"W.1","W.1.9"
5,2014,NA,NA,"W.1","W.1.9"
6,2019,NA,NA,"W.1","W.1.9"
7,2017,NA,NA,"W.1","W.1.9"
8,2017,NA,NA,"W.1","W.1.9"
9,2017,NA,NA,"W.1","W.1.9"
10,2005,NA,NA,"W.1","W.1.9"
11,2016,NA,NA,"W.1","W.1.9"
12,2018,NA,NA,"W.1","W.1.9"
13,2018,NA,NA,"W.1","W.1.9"
14,2020,NA,NA,"W.1","W.1.9"
15,2019,NA,NA,"W.1","W.1.9"
16,2015,NA,NA,"W.1","W.1.9"
17,2018,NA,NA,"W.1","W.1.9"
18,2009,NA,NA,"W.1","W.1.9"
19,2005,NA,NA,"W.1","W.1.9"
20,2002,NA,NA,"W.1","W.1.9"
21,2014,NA,NA,"W.1","W.1.9"
22,2013,NA,NA,"W.1","W.1.9"
23,2021,NA,NA,"W.1","W.1.9"
24,2002,NA,NA,"W.1","W.1.9"
25,2020,NA,NA,"W.1","W.1.9"
26,2019,NA,NA,"W.1","W.1.9"
27,2004,NA,NA,"W.1","W.1.9"
28,2007,NA,NA,"W.1","W.1.9"
29,2003,NA,NA,"W.1","W.1.9"
30,2011,NA,NA,"W.1","W.1.9"
31,2009,NA,NA,"W.1","W.1.9"
32,2008,NA,NA,"W.1","W.1.9"
33,2004,NA,NA,"W.1","W.1.9"
34,2005,NA,NA,"W.1","W.1.9"
35,2004,NA,NA,"W.1","W.1.9"
36,2015,NA,NA,"W.1","W.1.9"
37,2009,NA,NA,"W.1","W.1.9"
38,2014,NA,NA,"W.1","W.1.9"
39,2005,NA,NA,"W.1","W.1.9"
40,2009,NA,NA,"W.1","W.1.9"
1,2020,1,NA,"W.4","W.4.10"
2,2008,0,0,"W.4","W.4.10"
3,2002,0,0,"W.4","W.4.10"
4,2002,NA,NA,"W.4","W.4.10"
5,2014,NA,NA,"W.4","W.4.10"
6,2019,NA,NA,"W.4","W.4.10"
7,2017,NA,NA,"W.4","W.4.10"
8,2017,NA,NA,"W.4","W.4.10"
9,2017,NA,NA,"W.4","W.4.10"
10,2005,NA,NA,"W.4","W.4.10"
11,2016,NA,NA,"W.4","W.4.10"
12,2018,NA,NA,"W.4","W.4.10"
13,2018,NA,NA,"W.4","W.4.10"
14,2020,NA,NA,"W.4","W.4.10"
15,2019,NA,NA,"W.4","W.4.10"
16,2015,NA,NA,"W.4","W.4.10"
17,2018,NA,NA,"W.4","W.4.10"
18,2009,NA,NA,"W.4","W.4.10"
19,2005,NA,NA,"W.4","W.4.10"
20,2002,NA,NA,"W.4","W.4.10"
21,2014,NA,NA,"W.4","W.4.10"
22,2013,NA,NA,"W.4","W.4.10"
23,2021,NA,NA,"W.4","W.4.10"
24,2002,NA,NA,"W.4","W.4.10"
25,2020,NA,NA,"W.4","W.4.10"
26,2019,NA,NA,"W.4","W.4.10"
27,2004,NA,NA,"W.4","W.4.10"
28,2007,NA,NA,"W.4","W.4.10"
29,2003,NA,NA,"W.4","W.4.10"
30,2011,NA,NA,"W.4","W.4.10"
31,2009,NA,NA,"W.4","W.4.10"
32,2008,NA,NA,"W.4","W.4.10"
33,2004,NA,NA,"W.4","W.4.10"
34,2005,NA,NA,"W.4","W.4.10"
35,2004,NA,NA,"W.4","W.4.10"
36,2015,NA,NA,"W.4","W.4.10"
37,2009,NA,NA,"W.4","W.4.10"
38,2014,NA,NA,"W.4","W.4.10"
39,2005,NA,NA,"W.4","W.4.10"
40,2009,NA,NA,"W.4","W.4.10"
1,2020,5,NA,"E.6","E.6.11"
2,2008,0,0,"E.6","E.6.11"
3,2002,0,0,"E.6","E.6.11"
4,2002,NA,NA,"E.6","E.6.11"
5,2014,NA,NA,"E.6","E.6.11"
6,2019,NA,NA,"E.6","E.6.11"
7,2017,NA,NA,"E.6","E.6.11"
8,2017,NA,NA,"E.6","E.6.11"
9,2017,NA,NA,"E.6","E.6.11"
10,2005,NA,NA,"E.6","E.6.11"
11,2016,NA,NA,"E.6","E.6.11"
12,2018,NA,NA,"E.6","E.6.11"
13,2018,NA,NA,"E.6","E.6.11"
14,2020,NA,NA,"E.6","E.6.11"
15,2019,NA,NA,"E.6","E.6.11"
16,2015,NA,NA,"E.6","E.6.11"
17,2018,NA,NA,"E.6","E.6.11"
18,2009,NA,NA,"E.6","E.6.11"
19,2005,NA,NA,"E.6","E.6.11"
20,2002,NA,NA,"E.6","E.6.11"
21,2014,NA,NA,"E.6","E.6.11"
22,2013,NA,NA,"E.6","E.6.11"
23,2021,NA,NA,"E.6","E.6.11"
24,2002,NA,NA,"E.6","E.6.11"
25,2020,NA,NA,"E.6","E.6.11"
26,2019,NA,NA,"E.6","E.6.11"
27,2004,NA,NA,"E.6","E.6.11"
28,2007,NA,NA,"E.6","E.6.11"
29,2003,NA,NA,"E.6","E.6.11"
30,2011,NA,NA,"E.6","E.6.11"
31,2009,NA,NA,"E.6","E.6.11"
32,2008,NA,NA,"E.6","E.6.11"
33,2004,NA,NA,"E.6","E.6.11"
34,2005,NA,NA,"E.6","E.6.11"
35,2004,NA,NA,"E.6","E.6.11"
36,2015,NA,NA,"E.6","E.6.11"
37,2009,NA,NA,"E.6","E.6.11"
38,2014,NA,NA,"E.6","E.6.11"
39,2005,NA,NA,"E.6","E.6.11"
40,2009,NA,NA,"E.6","E.6.11"
1,2020,5,NA,"E.2","E.2.12"
2,2008,0,0,"E.2","E.2.12"
3,2002,0,0,"E.2","E.2.12"
4,2002,NA,NA,"E.2","E.2.12"
5,2014,NA,NA,"E.2","E.2.12"
6,2019,NA,NA,"E.2","E.2.12"
7,2017,NA,NA,"E.2","E.2.12"
8,2017,NA,NA,"E.2","E.2.12"
9,2017,NA,NA,"E.2","E.2.12"
10,2005,NA,NA,"E.2","E.2.12"
11,2016,NA,NA,"E.2","E.2.12"
12,2018,NA,NA,"E.2","E.2.12"
13,2018,NA,NA,"E.2","E.2.12"
14,2020,NA,NA,"E.2","E.2.12"
15,2019,NA,NA,"E.2","E.2.12"
16,2015,NA,NA,"E.2","E.2.12"
17,2018,NA,NA,"E.2","E.2.12"
18,2009,NA,NA,"E.2","E.2.12"
19,2005,NA,NA,"E.2","E.2.12"
20,2002,NA,NA,"E.2","E.2.12"
21,2014,NA,NA,"E.2","E.2.12"
22,2013,NA,NA,"E.2","E.2.12"
23,2021,NA,NA,"E.2","E.2.12"
24,2002,NA,NA,"E.2","E.2.12"
25,2020,NA,NA,"E.2","E.2.12"
26,2019,NA,NA,"E.2","E.2.12"
27,2004,NA,NA,"E.2","E.2.12"
28,2007,NA,NA,"E.2","E.2.12"
29,2003,NA,NA,"E.2","E.2.12"
30,2011,NA,NA,"E.2","E.2.12"
31,2009,NA,NA,"E.2","E.2.12"
32,2008,NA,NA,"E.2","E.2.12"
33,2004,NA,NA,"E.2","E.2.12"
34,2005,NA,NA,"E.2","E.2.12"
35,2004,NA,NA,"E.2","E.2.12"
36,2015,NA,NA,"E.2","E.2.12"
37,2009,NA,NA,"E.2","E.2.12"
38,2014,NA,NA,"E.2","E.2.12"
39,2005,NA,NA,"E.2","E.2.12"
40,2009,NA,NA,"E.2","E.2.12"
1,2020,3,NA,"E.4","E.4.13"
2,2008,0,0,"E.4","E.4.13"
3,2002,0,0,"E.4","E.4.13"
4,2002,NA,NA,"E.4","E.4.13"
5,2014,NA,NA,"E.4","E.4.13"
6,2019,NA,NA,"E.4","E.4.13"
7,2017,NA,NA,"E.4","E.4.13"
8,2017,NA,NA,"E.4","E.4.13"
9,2017,NA,NA,"E.4","E.4.13"
10,2005,NA,NA,"E.4","E.4.13"
11,2016,NA,NA,"E.4","E.4.13"
12,2018,NA,NA,"E.4","E.4.13"
13,2018,NA,NA,"E.4","E.4.13"
14,2020,NA,NA,"E.4","E.4.13"
15,2019,NA,NA,"E.4","E.4.13"
16,2015,NA,NA,"E.4","E.4.13"
17,2018,NA,NA,"E.4","E.4.13"
18,2009,NA,NA,"E.4","E.4.13"
19,2005,NA,NA,"E.4","E.4.13"
20,2002,NA,NA,"E.4","E.4.13"
21,2014,NA,NA,"E.4","E.4.13"
22,2013,NA,NA,"E.4","E.4.13"
23,2021,NA,NA,"E.4","E.4.13"
24,2002,NA,NA,"E.4","E.4.13"
25,2020,NA,NA,"E.4","E.4.13"
26,2019,NA,NA,"E.4","E.4.13"
27,2004,NA,NA,"E.4","E.4.13"
28,2007,NA,NA,"E.4","E.4.13"
29,2003,NA,NA,"E.4","E.4.13"
30,2011,NA,NA,"E.4","E.4.13"
31,2009,NA,NA,"E.4","E.4.13"
32,2008,NA,NA,"E.4","E.4.13"
33,2004,NA,NA,"E.4","E.4.13"
34,2005,NA,NA,"E.4","E.4.13"
35,2004,NA,NA,"E.4","E.4.13"
36,2015,NA,NA,"E.4","E.4.13"
37,2009,NA,NA,"E.4","E.4.13"
38,2014,NA,NA,"E.4","E.4.13"
39,2005,NA,NA,"E.4","E.4.13"
40,2009,NA,NA,"E.4","E.4.13"
1,2020,5,NA,"E.5","E.5.14"
2,2008,12,638,"E.5","E.5.14"
3,2002,8,0,"E.5","E.5.14"
4,2002,0,0,"E.5","E.5.14"
5,2014,0,0,"E.5","E.5.14"
6,2019,NA,NA,"E.5","E.5.14"
7,2017,NA,NA,"E.5","E.5.14"
8,2017,NA,NA,"E.5","E.5.14"
9,2017,NA,NA,"E.5","E.5.14"
10,2005,NA,NA,"E.5","E.5.14"
11,2016,NA,NA,"E.5","E.5.14"
12,2018,NA,NA,"E.5","E.5.14"
13,2018,NA,NA,"E.5","E.5.14"
14,2020,NA,NA,"E.5","E.5.14"
15,2019,NA,NA,"E.5","E.5.14"
16,2015,NA,NA,"E.5","E.5.14"
17,2018,NA,NA,"E.5","E.5.14"
18,2009,NA,NA,"E.5","E.5.14"
19,2005,NA,NA,"E.5","E.5.14"
20,2002,NA,NA,"E.5","E.5.14"
21,2014,NA,NA,"E.5","E.5.14"
22,2013,NA,NA,"E.5","E.5.14"
23,2021,NA,NA,"E.5","E.5.14"
24,2002,NA,NA,"E.5","E.5.14"
25,2020,NA,NA,"E.5","E.5.14"
26,2019,NA,NA,"E.5","E.5.14"
27,2004,NA,NA,"E.5","E.5.14"
28,2007,NA,NA,"E.5","E.5.14"
29,2003,NA,NA,"E.5","E.5.14"
30,2011,NA,NA,"E.5","E.5.14"
31,2009,NA,NA,"E.5","E.5.14"
32,2008,NA,NA,"E.5","E.5.14"
33,2004,NA,NA,"E.5","E.5.14"
34,2005,NA,NA,"E.5","E.5.14"
35,2004,NA,NA,"E.5","E.5.14"
36,2015,NA,NA,"E.5","E.5.14"
37,2009,NA,NA,"E.5","E.5.14"
38,2014,NA,NA,"E.5","E.5.14"
39,2005,NA,NA,"E.5","E.5.14"
40,2009,NA,NA,"E.5","E.5.14"
1,2020,11,NA,"W.5","W.5.15"
2,2008,17,0,"W.5","W.5.15"
3,2002,0,0,"W.5","W.5.15"
4,2002,0,0,"W.5","W.5.15"
5,2014,NA,NA,"W.5","W.5.15"
6,2019,NA,NA,"W.5","W.5.15"
7,2017,NA,NA,"W.5","W.5.15"
8,2017,NA,NA,"W.5","W.5.15"
9,2017,NA,NA,"W.5","W.5.15"
10,2005,NA,NA,"W.5","W.5.15"
11,2016,NA,NA,"W.5","W.5.15"
12,2018,NA,NA,"W.5","W.5.15"
13,2018,NA,NA,"W.5","W.5.15"
14,2020,NA,NA,"W.5","W.5.15"
15,2019,NA,NA,"W.5","W.5.15"
16,2015,NA,NA,"W.5","W.5.15"
17,2018,NA,NA,"W.5","W.5.15"
18,2009,NA,NA,"W.5","W.5.15"
19,2005,NA,NA,"W.5","W.5.15"
20,2002,NA,NA,"W.5","W.5.15"
21,2014,NA,NA,"W.5","W.5.15"
22,2013,NA,NA,"W.5","W.5.15"
23,2021,NA,NA,"W.5","W.5.15"
24,2002,NA,NA,"W.5","W.5.15"
25,2020,NA,NA,"W.5","W.5.15"
26,2019,NA,NA,"W.5","W.5.15"
27,2004,NA,NA,"W.5","W.5.15"
28,2007,NA,NA,"W.5","W.5.15"
29,2003,NA,NA,"W.5","W.5.15"
30,2011,NA,NA,"W.5","W.5.15"
31,2009,NA,NA,"W.5","W.5.15"
32,2008,NA,NA,"W.5","W.5.15"
33,2004,NA,NA,"W.5","W.5.15"
34,2005,NA,NA,"W.5","W.5.15"
35,2004,NA,NA,"W.5","W.5.15"
36,2015,NA,NA,"W.5","W.5.15"
37,2009,NA,NA,"W.5","W.5.15"
38,2014,NA,NA,"W.5","W.5.15"
39,2005,NA,NA,"W.5","W.5.15"
40,2009,NA,NA,"W.5","W.5.15"
1,2020,1,NA,"E.3","E.3.16"
2,2008,0,0,"E.3","E.3.16"
3,2002,0,0,"E.3","E.3.16"
4,2002,NA,NA,"E.3","E.3.16"
5,2014,NA,NA,"E.3","E.3.16"
6,2019,NA,NA,"E.3","E.3.16"
7,2017,NA,NA,"E.3","E.3.16"
8,2017,NA,NA,"E.3","E.3.16"
9,2017,NA,NA,"E.3","E.3.16"
10,2005,NA,NA,"E.3","E.3.16"
